mouse_symbol,mouse_ensembl,human_ensembl,orthology_type
Mbd5,ENSMUSG00000036792,ENSG00000204406,ortholog_one2one
Mif4gd,ENSMUSG00000020743,ENSG00000125457,ortholog_one2one
Gpr160,ENSMUSG00000037661,ENSG00000173890,ortholog_one2one
Trmt1l,ENSMUSG00000053286,ENSG00000121486,ortholog_one2one
Cdk19,ENSMUSG00000038481,ENSG00000155111,ortholog_one2one
Git2,ENSMUSG00000041890,ENSG00000139436,ortholog_one2one
Alpk1,ENSMUSG00000028028,ENSG00000073331,ortholog_one2one
Pcdh1,ENSMUSG00000051375,ENSG00000156453,ortholog_one2one
Dcst1,ENSMUSG00000042672,ENSG00000163357,ortholog_one2one
Ccdc178,ENSMUSG00000024306,ENSG00000166960,ortholog_one2one
Ndc1,ENSMUSG00000028614,ENSG00000058804,ortholog_one2one
Ddb1,ENSMUSG00000024740,ENSG00000167986,ortholog_one2one
Mcu,ENSMUSG00000009647,ENSG00000156026,ortholog_one2one
Vps13c,ENSMUSG00000035284,ENSG00000129003,ortholog_one2one
Ccdc148,ENSMUSG00000036641,ENSG00000153237,ortholog_one2one
Cd79b,ENSMUSG00000040592,ENSG00000007312,ortholog_one2one
Fmnl3,ENSMUSG00000023008,ENSG00000161791,ortholog_one2one
Dnase2b,ENSMUSG00000028185,ENSG00000137976,ortholog_one2one
Iqcj,ENSMUSG00000051777,ENSG00000214216,ortholog_one2one
Palm,ENSMUSG00000035863,ENSG00000099864,ortholog_one2one
F3,ENSMUSG00000028128,ENSG00000117525,ortholog_one2one
Nars1,ENSMUSG00000024587,ENSG00000134440,ortholog_one2one
Tap1,ENSMUSG00000037321,ENSG00000168394,ortholog_one2one
Spaca7,ENSMUSG00000010435,ENSG00000153498,ortholog_one2one
Bcl2l15,ENSMUSG00000044165,ENSG00000188761,ortholog_one2one
Ascc2,ENSMUSG00000020412,ENSG00000100325,ortholog_one2one
Fhod1,ENSMUSG00000014778,ENSG00000135723,ortholog_one2one
Dusp2,ENSMUSG00000027368,ENSG00000158050,ortholog_one2one
Gabpb2,ENSMUSG00000038766,ENSG00000143458,ortholog_one2one
Defb23,ENSMUSG00000074681,ENSG00000125903,ortholog_one2one
Zswim3,ENSMUSG00000045822,ENSG00000132801,ortholog_one2one
Cast,ENSMUSG00000021585,ENSG00000310517,ortholog_one2one
Mt1,ENSMUSG00000031765,ENSG00000169688,ortholog_one2one
Chst10,ENSMUSG00000026080,ENSG00000115526,ortholog_one2one
Ptpn1,ENSMUSG00000027540,ENSG00000196396,ortholog_one2one
Insrr,ENSMUSG00000005640,ENSG00000027644,ortholog_one2one
Cars2,ENSMUSG00000056228,ENSG00000134905,ortholog_one2one
Mrtfb,ENSMUSG00000009569,ENSG00000186260,ortholog_one2one
Hs3st1,ENSMUSG00000051022,ENSG00000002587,ortholog_one2one
Il1r2,ENSMUSG00000026073,ENSG00000115590,ortholog_one2one
Gm128,ENSMUSG00000068860,ENSG00000143443,ortholog_one2one
Smim14,ENSMUSG00000037822,ENSG00000163683,ortholog_one2one
Adgrb3,ENSMUSG00000033569,ENSG00000135298,ortholog_one2one
Crybg1,ENSMUSG00000019866,ENSG00000112297,ortholog_one2one
Sertad2,ENSMUSG00000049800,ENSG00000179833,ortholog_one2one
Neu1,ENSMUSG00000007038,ENSG00000204386,ortholog_one2one
Fgf11,ENSMUSG00000042826,ENSG00000161958,ortholog_one2one
Ism1,ENSMUSG00000074766,ENSG00000101230,ortholog_one2one
Trhde,ENSMUSG00000050663,ENSG00000072657,ortholog_one2one
Wdr38,ENSMUSG00000035295,ENSG00000136918,ortholog_one2one
Atp6v1a,ENSMUSG00000052459,ENSG00000114573,ortholog_one2one
Cers2,ENSMUSG00000015714,ENSG00000143418,ortholog_one2one
Rhbdf2,ENSMUSG00000020806,ENSG00000129667,ortholog_one2one
Ackr4,ENSMUSG00000079355,ENSG00000129048,ortholog_one2one
Pex6,ENSMUSG00000002763,ENSG00000124587,ortholog_one2one
Pip5kl1,ENSMUSG00000046854,ENSG00000167103,ortholog_one2one
Klhl18,ENSMUSG00000054792,ENSG00000114648,ortholog_one2one
Kctd17,ENSMUSG00000033287,ENSG00000100379,ortholog_one2one
Pip5k1b,ENSMUSG00000024867,ENSG00000107242,ortholog_one2one
E130308A19Rik,ENSMUSG00000045071,ENSG00000165185,ortholog_one2one
Gcc2,ENSMUSG00000038039,ENSG00000135968,ortholog_one2one
Gsta3,ENSMUSG00000025934,ENSG00000182793,ortholog_one2one
Tas1r2,ENSMUSG00000028738,ENSG00000179002,ortholog_one2one
Errfi1,ENSMUSG00000028967,ENSG00000116285,ortholog_one2one
Ptpn11,ENSMUSG00000043733,ENSG00000179295,ortholog_one2one
Bach2,ENSMUSG00000040270,ENSG00000112182,ortholog_one2one
Bud13,ENSMUSG00000032077,ENSG00000137656,ortholog_one2one
Elk4,ENSMUSG00000026436,ENSG00000158711,ortholog_one2one
Cep104,ENSMUSG00000039523,ENSG00000116198,ortholog_one2one
Epha4,ENSMUSG00000026235,ENSG00000116106,ortholog_one2one
Naalad2,ENSMUSG00000043943,ENSG00000077616,ortholog_one2one
Pgam2,ENSMUSG00000020475,ENSG00000164708,ortholog_one2one
Sh2d2a,ENSMUSG00000028071,ENSG00000027869,ortholog_one2one
Marchf11,ENSMUSG00000022269,ENSG00000183654,ortholog_one2one
Jrk,ENSMUSG00000046380,ENSG00000234616,ortholog_one2one
Cacng2,ENSMUSG00000019146,ENSG00000166862,ortholog_one2one
Pcif1,ENSMUSG00000039849,ENSG00000100982,ortholog_one2one
Sgca,ENSMUSG00000001508,ENSG00000108823,ortholog_one2one
Fyb1,ENSMUSG00000022148,ENSG00000082074,ortholog_one2one
Vps45,ENSMUSG00000015747,ENSG00000136631,ortholog_one2one
Emc3,ENSMUSG00000030286,ENSG00000125037,ortholog_one2one
Rce1,ENSMUSG00000024889,ENSG00000173653,ortholog_one2one
Zbtb22,ENSMUSG00000051390,ENSG00000236104,ortholog_one2one
Mymx,ENSMUSG00000079471,ENSG00000262179,ortholog_one2one
Slc16a7,ENSMUSG00000020102,ENSG00000118596,ortholog_one2one
Sbspon,ENSMUSG00000032719,ENSG00000164764,ortholog_one2one
Spdya,ENSMUSG00000052525,ENSG00000163806,ortholog_one2one
Matn2,ENSMUSG00000022324,ENSG00000132561,ortholog_one2one
Dusp23,ENSMUSG00000026544,ENSG00000158716,ortholog_one2one
Crp,ENSMUSG00000037942,ENSG00000132693,ortholog_one2one
Megf11,ENSMUSG00000036466,ENSG00000157890,ortholog_one2one
Usp18,ENSMUSG00000030107,ENSG00000184979,ortholog_one2one
Gpm6a,ENSMUSG00000031517,ENSG00000150625,ortholog_one2one
Ociad1,ENSMUSG00000029152,ENSG00000109180,ortholog_one2one
Ywhae,ENSMUSG00000020849,ENSG00000108953,ortholog_one2one
Plekhb2,ENSMUSG00000026123,ENSG00000115762,ortholog_one2one
Atat1,ENSMUSG00000024426,ENSG00000137343,ortholog_one2one
Tspan2,ENSMUSG00000027858,ENSG00000134198,ortholog_one2one
2700049A03Rik,ENSMUSG00000034601,ENSG00000100578,ortholog_one2one
Naf1,ENSMUSG00000014907,ENSG00000145414,ortholog_one2one
Nxph4,ENSMUSG00000040258,ENSG00000182379,ortholog_one2one
Dtwd2,ENSMUSG00000024505,ENSG00000169570,ortholog_one2one
Them5,ENSMUSG00000028148,ENSG00000196407,ortholog_one2one
Dna2,ENSMUSG00000036875,ENSG00000138346,ortholog_one2one
Scp2,ENSMUSG00000028603,ENSG00000116171,ortholog_one2one
Atg2a,ENSMUSG00000024773,ENSG00000110046,ortholog_one2one
Clic6,ENSMUSG00000022949,ENSG00000159212,ortholog_one2one
Col4a2,ENSMUSG00000031503,ENSG00000134871,ortholog_one2one
Map6d1,ENSMUSG00000041205,ENSG00000180834,ortholog_one2one
Atg7,ENSMUSG00000030314,ENSG00000197548,ortholog_one2one
Abat,ENSMUSG00000057880,ENSG00000183044,ortholog_one2one
Ammecr1l,ENSMUSG00000041915,ENSG00000144233,ortholog_one2one
Gata3,ENSMUSG00000015619,ENSG00000107485,ortholog_one2one
Apool,ENSMUSG00000025525,ENSG00000155008,ortholog_one2one
Pde4dip,ENSMUSG00000038170,ENSG00000178104,ortholog_one2one
Dhrs7b,ENSMUSG00000042569,ENSG00000109016,ortholog_one2one
1700066M21Rik,ENSMUSG00000038323,ENSG00000178074,ortholog_one2one
Optc,ENSMUSG00000010311,ENSG00000188770,ortholog_one2one
Tgif2,ENSMUSG00000062175,ENSG00000118707,ortholog_one2one
Rnf25,ENSMUSG00000026171,ENSG00000163481,ortholog_one2one
Gabra3,ENSMUSG00000031343,ENSG00000011677,ortholog_one2one
Plac8l1,ENSMUSG00000059455,ENSG00000173261,ortholog_one2one
Ctxn2,ENSMUSG00000074872,ENSG00000233932,ortholog_one2one
Taf4b,ENSMUSG00000054321,ENSG00000141384,ortholog_one2one
Numb,ENSMUSG00000021224,ENSG00000133961,ortholog_one2one
Bfsp1,ENSMUSG00000027420,ENSG00000125864,ortholog_one2one
Mier2,ENSMUSG00000042570,ENSG00000105556,ortholog_one2one
Sh3tc2,ENSMUSG00000045629,ENSG00000169247,ortholog_one2one
Zfp358,ENSMUSG00000047264,ENSG00000198816,ortholog_one2one
Mef2b,ENSMUSG00000079033,ENSG00000213999,ortholog_one2one
Asb6,ENSMUSG00000039483,ENSG00000148331,ortholog_one2one
Armcx5,ENSMUSG00000072969,ENSG00000125962,ortholog_one2one
Fam118b,ENSMUSG00000050471,ENSG00000197798,ortholog_one2one
P4hb,ENSMUSG00000025130,ENSG00000185624,ortholog_one2one
Ube2a,ENSMUSG00000016308,ENSG00000077721,ortholog_one2one
Cdx1,ENSMUSG00000024619,ENSG00000113722,ortholog_one2one
Vbp1,ENSMUSG00000031197,ENSG00000155959,ortholog_one2one
Aldh9a1,ENSMUSG00000026687,ENSG00000143149,ortholog_one2one
Oosp1,ENSMUSG00000041857,ENSG00000284873,ortholog_one2one
Snx24,ENSMUSG00000024535,ENSG00000064652,ortholog_one2one
Cabp2,ENSMUSG00000024857,ENSG00000167791,ortholog_one2one
Stip1,ENSMUSG00000024966,ENSG00000168439,ortholog_one2one
Nostrin,ENSMUSG00000034738,ENSG00000163072,ortholog_one2one
Mrps6,ENSMUSG00000039680,ENSG00000243927,ortholog_one2one
Pcdhgc3,ENSMUSG00000102918,ENSG00000240184,ortholog_one2one
Spidr,ENSMUSG00000041974,ENSG00000164808,ortholog_one2one
Adprm,ENSMUSG00000020910,ENSG00000170222,ortholog_one2one
Gpr174,ENSMUSG00000073008,ENSG00000147138,ortholog_one2one
Uhrf1,ENSMUSG00000001228,ENSG00000276043,ortholog_one2one
Ctnna1,ENSMUSG00000037815,ENSG00000044115,ortholog_one2one
Zmat1,ENSMUSG00000052676,ENSG00000166432,ortholog_one2one
Gm73394,ENSMUSG00000121808,ENSG00000169249,ortholog_one2one
C1qtnf2,ENSMUSG00000046491,ENSG00000145861,ortholog_one2one
Polr3f,ENSMUSG00000027427,ENSG00000132664,ortholog_one2one
Slc16a2,ENSMUSG00000033965,ENSG00000147100,ortholog_one2one
Cd72,ENSMUSG00000028459,ENSG00000137101,ortholog_one2one
Mrpl12,ENSMUSG00000039640,ENSG00000262814,ortholog_one2one
Upf1,ENSMUSG00000058301,ENSG00000005007,ortholog_one2one
Myog,ENSMUSG00000026459,ENSG00000122180,ortholog_one2one
Stx7,ENSMUSG00000019998,ENSG00000079950,ortholog_one2one
Gm527,ENSMUSG00000047227,ENSG00000179476,ortholog_one2one
Foxo4,ENSMUSG00000042903,ENSG00000184481,ortholog_one2one
Ccdc187,ENSMUSG00000048038,ENSG00000260220,ortholog_one2one
Armcx3,ENSMUSG00000049047,ENSG00000102401,ortholog_one2one
Chmp6,ENSMUSG00000025371,ENSG00000176108,ortholog_one2one
D430019H16Rik,ENSMUSG00000094910,ENSG00000227051,ortholog_one2one
Ankmy2,ENSMUSG00000036188,ENSG00000106524,ortholog_one2one
Sema4g,ENSMUSG00000025207,ENSG00000095539,ortholog_one2one
Sp100,ENSMUSG00000026222,ENSG00000079263,ortholog_one2one
Wipi2,ENSMUSG00000029578,ENSG00000157954,ortholog_one2one
Atpaf1,ENSMUSG00000028710,ENSG00000123472,ortholog_one2one
Aurka,ENSMUSG00000027496,ENSG00000087586,ortholog_one2one
Dld,ENSMUSG00000020664,ENSG00000091140,ortholog_one2one
Itgb1bp2,ENSMUSG00000031312,ENSG00000147166,ortholog_one2one
Ccna2,ENSMUSG00000027715,ENSG00000145386,ortholog_one2one
Alg9,ENSMUSG00000032059,ENSG00000086848,ortholog_one2one
B3galt5,ENSMUSG00000074892,ENSG00000183778,ortholog_one2one
Xpnpep2,ENSMUSG00000037005,ENSG00000122121,ortholog_one2one
Mettl1,ENSMUSG00000006732,ENSG00000037897,ortholog_one2one
Lox,ENSMUSG00000024529,ENSG00000113083,ortholog_one2one
Psmd4,ENSMUSG00000005625,ENSG00000159352,ortholog_one2one
Cmss1,ENSMUSG00000022748,ENSG00000184220,ortholog_one2one
Gpr137,ENSMUSG00000024958,ENSG00000173264,ortholog_one2one
Mfrp,ENSMUSG00000034739,ENSG00000235718,ortholog_one2one
Kalrn,ENSMUSG00000061751,ENSG00000160145,ortholog_one2one
Tunar,ENSMUSG00000097929,ENSG00000250366,ortholog_one2one
Ctnna3,ENSMUSG00000060843,ENSG00000183230,ortholog_one2one
Gpx2,ENSMUSG00000042808,ENSG00000176153,ortholog_one2one
Tcea2,ENSMUSG00000059540,ENSG00000171703,ortholog_one2one
Grpel2,ENSMUSG00000024580,ENSG00000164284,ortholog_one2one
Fggy,ENSMUSG00000028573,ENSG00000172456,ortholog_one2one
Gtf2a1,ENSMUSG00000020962,ENSG00000165417,ortholog_one2one
Hdac3,ENSMUSG00000024454,ENSG00000171720,ortholog_one2one
Ctdsp2,ENSMUSG00000078429,ENSG00000175215,ortholog_one2one
Osr2,ENSMUSG00000022330,ENSG00000164920,ortholog_one2one
Mtm1,ENSMUSG00000031337,ENSG00000171100,ortholog_one2one
Kcmf1,ENSMUSG00000055239,ENSG00000176407,ortholog_one2one
Spag1,ENSMUSG00000037617,ENSG00000104450,ortholog_one2one
Churc1,ENSMUSG00000090258,ENSG00000258289,ortholog_one2one
Smarca2,ENSMUSG00000024921,ENSG00000080503,ortholog_one2one
Pld4,ENSMUSG00000052160,ENSG00000166428,ortholog_one2one
Mapk6,ENSMUSG00000042688,ENSG00000069956,ortholog_one2one
Kifbp,ENSMUSG00000036955,ENSG00000198954,ortholog_one2one
Slc39a11,ENSMUSG00000041654,ENSG00000133195,ortholog_one2one
Tacc3,ENSMUSG00000037313,ENSG00000013810,ortholog_one2one
Zfp248,ENSMUSG00000030145,ENSG00000198105,ortholog_one2one
Usp38,ENSMUSG00000038250,ENSG00000170185,ortholog_one2one
Phyh,ENSMUSG00000026664,ENSG00000107537,ortholog_one2one
Atm,ENSMUSG00000034218,ENSG00000149311,ortholog_one2one
Spryd3,ENSMUSG00000036966,ENSG00000167778,ortholog_one2one
Evl,ENSMUSG00000021262,ENSG00000196405,ortholog_one2one
Fbln2,ENSMUSG00000064080,ENSG00000163520,ortholog_one2one
Slc5a12,ENSMUSG00000041644,ENSG00000148942,ortholog_one2one
Slc25a17,ENSMUSG00000022404,ENSG00000100372,ortholog_one2one
Prex2,ENSMUSG00000048960,ENSG00000046889,ortholog_one2one
Trmt1,ENSMUSG00000001909,ENSG00000104907,ortholog_one2one
Zic4,ENSMUSG00000036972,ENSG00000174963,ortholog_one2one
Chmp2b,ENSMUSG00000004843,ENSG00000083937,ortholog_one2one
Higd1c,ENSMUSG00000093550,ENSG00000214511,ortholog_one2one
Rmi2,ENSMUSG00000037991,ENSG00000175643,ortholog_one2one
Eaf2,ENSMUSG00000022838,ENSG00000145088,ortholog_one2one
Metrn,ENSMUSG00000002274,ENSG00000103260,ortholog_one2one
Slc48a1,ENSMUSG00000081534,ENSG00000211584,ortholog_one2one
Mmp8,ENSMUSG00000005800,ENSG00000118113,ortholog_one2one
Arid4a,ENSMUSG00000048118,ENSG00000032219,ortholog_one2one
Gga1,ENSMUSG00000033128,ENSG00000100083,ortholog_one2one
Mrps18a,ENSMUSG00000023967,ENSG00000096080,ortholog_one2one
Mpz,ENSMUSG00000056569,ENSG00000158887,ortholog_one2one
Mcam,ENSMUSG00000032135,ENSG00000076706,ortholog_one2one
R3hdm2,ENSMUSG00000025404,ENSG00000179912,ortholog_one2one
Senp7,ENSMUSG00000052917,ENSG00000138468,ortholog_one2one
Gng13,ENSMUSG00000025739,ENSG00000127588,ortholog_one2one
Nr4a2,ENSMUSG00000026826,ENSG00000153234,ortholog_one2one
Daxx,ENSMUSG00000002307,ENSG00000204209,ortholog_one2one
Bard1,ENSMUSG00000026196,ENSG00000138376,ortholog_one2one
Ssu2,ENSMUSG00000034387,ENSG00000125046,ortholog_one2one
Gng5,ENSMUSG00000068523,ENSG00000174021,ortholog_one2one
Flrt2,ENSMUSG00000047414,ENSG00000185070,ortholog_one2one
Ccdc192,ENSMUSG00000058925,ENSG00000230561,ortholog_one2one
Mrps28,ENSMUSG00000040269,ENSG00000147586,ortholog_one2one
F13b,ENSMUSG00000026368,ENSG00000143278,ortholog_one2one
Ptgr2,ENSMUSG00000072946,ENSG00000140043,ortholog_one2one
Srprb,ENSMUSG00000032553,ENSG00000144867,ortholog_one2one
Wipf3,ENSMUSG00000086040,ENSG00000122574,ortholog_one2one
Actl6a,ENSMUSG00000027671,ENSG00000136518,ortholog_one2one
Snrpg,ENSMUSG00000057278,ENSG00000143977,ortholog_one2one
Slc25a46,ENSMUSG00000024259,ENSG00000164209,ortholog_one2one
Rgs5,ENSMUSG00000026678,ENSG00000143248,ortholog_one2one
Armcx1,ENSMUSG00000033460,ENSG00000126947,ortholog_one2one
Poc1a,ENSMUSG00000023345,ENSG00000164087,ortholog_one2one
Pcp4l1,ENSMUSG00000038370,ENSG00000248485,ortholog_one2one
Mrpl13,ENSMUSG00000022370,ENSG00000172172,ortholog_one2one
Cnot4,ENSMUSG00000038784,ENSG00000080802,ortholog_one2one
Orc2,ENSMUSG00000026037,ENSG00000115942,ortholog_one2one
Usp49,ENSMUSG00000090115,ENSG00000164663,ortholog_one2one
Wdr4,ENSMUSG00000024037,ENSG00000160193,ortholog_one2one
Vdr,ENSMUSG00000022479,ENSG00000111424,ortholog_one2one
Ift46,ENSMUSG00000002031,ENSG00000118096,ortholog_one2one
Golim4,ENSMUSG00000034109,ENSG00000173905,ortholog_one2one
Spp1,ENSMUSG00000029304,ENSG00000118785,ortholog_one2one
Scml2,ENSMUSG00000000037,ENSG00000102098,ortholog_one2one
Aifm3,ENSMUSG00000022763,ENSG00000183773,ortholog_one2one
Slc25a23,ENSMUSG00000046329,ENSG00000125648,ortholog_one2one
Gadl1,ENSMUSG00000056880,ENSG00000144644,ortholog_one2one
Zmynd8,ENSMUSG00000039671,ENSG00000101040,ortholog_one2one
Prdm2,ENSMUSG00000057637,ENSG00000116731,ortholog_one2one
Ugdh,ENSMUSG00000029201,ENSG00000109814,ortholog_one2one
Lmf2,ENSMUSG00000022614,ENSG00000100258,ortholog_one2one
Pkia,ENSMUSG00000027499,ENSG00000171033,ortholog_one2one
Dcdc2b,ENSMUSG00000078552,ENSG00000222046,ortholog_one2one
Ccdc51,ENSMUSG00000025645,ENSG00000164051,ortholog_one2one
Hsd17b8,ENSMUSG00000073422,ENSG00000204228,ortholog_one2one
B4galt2,ENSMUSG00000028541,ENSG00000117411,ortholog_one2one
Camp,ENSMUSG00000038357,ENSG00000164047,ortholog_one2one
Tmem154,ENSMUSG00000056498,ENSG00000170006,ortholog_one2one
Slc9a9,ENSMUSG00000031129,ENSG00000181804,ortholog_one2one
Pptc7,ENSMUSG00000038582,ENSG00000196850,ortholog_one2one
Mov10,ENSMUSG00000002227,ENSG00000155363,ortholog_one2one
Rad17,ENSMUSG00000021635,ENSG00000152942,ortholog_one2one
Mog,ENSMUSG00000076439,ENSG00000204655,ortholog_one2one
Cbx7,ENSMUSG00000053411,ENSG00000100307,ortholog_one2one
Fam168b,ENSMUSG00000037503,ENSG00000152102,ortholog_one2one
Chn2,ENSMUSG00000004633,ENSG00000106069,ortholog_one2one
Edn3,ENSMUSG00000027524,ENSG00000124205,ortholog_one2one
Chrnb4,ENSMUSG00000035200,ENSG00000117971,ortholog_one2one
Ptprm,ENSMUSG00000033278,ENSG00000173482,ortholog_one2one
Ranbp3l,ENSMUSG00000048424,ENSG00000164188,ortholog_one2one
Lrrc1,ENSMUSG00000032352,ENSG00000137269,ortholog_one2one
Pfkm,ENSMUSG00000033065,ENSG00000152556,ortholog_one2one
Lzts2,ENSMUSG00000035342,ENSG00000107816,ortholog_one2one
She,ENSMUSG00000046280,ENSG00000169291,ortholog_one2one
Atp6v0a2,ENSMUSG00000038023,ENSG00000185344,ortholog_one2one
Nfe2l3,ENSMUSG00000029832,ENSG00000050344,ortholog_one2one
Sardh,ENSMUSG00000009614,ENSG00000123453,ortholog_one2one
Agl,ENSMUSG00000033400,ENSG00000162688,ortholog_one2one
Speg,ENSMUSG00000026207,ENSG00000072195,ortholog_one2one
Ssbp1,ENSMUSG00000029911,ENSG00000106028,ortholog_one2one
Mms19,ENSMUSG00000025159,ENSG00000155229,ortholog_one2one
Riok1,ENSMUSG00000021428,ENSG00000124784,ortholog_one2one
Atxn3,ENSMUSG00000021189,ENSG00000066427,ortholog_one2one
Smc1a,ENSMUSG00000041133,ENSG00000072501,ortholog_one2one
Kirrel3,ENSMUSG00000032036,ENSG00000149571,ortholog_one2one
Chmp1a,ENSMUSG00000000743,ENSG00000131165,ortholog_one2one
Hsd11b2,ENSMUSG00000031891,ENSG00000176387,ortholog_one2one
Tle1,ENSMUSG00000008305,ENSG00000196781,ortholog_one2one
Polb,ENSMUSG00000031536,ENSG00000070501,ortholog_one2one
Slc44a4,ENSMUSG00000007034,ENSG00000204385,ortholog_one2one
Hoxd8,ENSMUSG00000027102,ENSG00000175879,ortholog_one2one
Ndufa9,ENSMUSG00000000399,ENSG00000139180,ortholog_one2one
Egf,ENSMUSG00000028017,ENSG00000138798,ortholog_one2one
Ggps1,ENSMUSG00000021302,ENSG00000152904,ortholog_one2one
Pycr3,ENSMUSG00000022571,ENSG00000104524,ortholog_one2one
Ubash3a,ENSMUSG00000042345,ENSG00000160185,ortholog_one2one
Nxf3,ENSMUSG00000057000,ENSG00000147206,ortholog_one2one
Hoxc9,ENSMUSG00000036139,ENSG00000180806,ortholog_one2one
Psmg4,ENSMUSG00000071451,ENSG00000180822,ortholog_one2one
Baalc,ENSMUSG00000022296,ENSG00000164929,ortholog_one2one
Txndc9,ENSMUSG00000058407,ENSG00000115514,ortholog_one2one
Fam91a1,ENSMUSG00000037119,ENSG00000176853,ortholog_one2one
Lman2,ENSMUSG00000021484,ENSG00000169223,ortholog_one2one
Cse1l,ENSMUSG00000002718,ENSG00000124207,ortholog_one2one
Slc25a41,ENSMUSG00000011486,ENSG00000181240,ortholog_one2one
Rbfox3,ENSMUSG00000025576,ENSG00000167281,ortholog_one2one
Trmt61a,ENSMUSG00000060950,ENSG00000166166,ortholog_one2one
Rbmx2,ENSMUSG00000031107,ENSG00000134597,ortholog_one2one
Bmp10,ENSMUSG00000030046,ENSG00000163217,ortholog_one2one
Wnt16,ENSMUSG00000029671,ENSG00000002745,ortholog_one2one
Hpcal1,ENSMUSG00000071379,ENSG00000115756,ortholog_one2one
Habp4,ENSMUSG00000021476,ENSG00000130956,ortholog_one2one
Gar1,ENSMUSG00000028010,ENSG00000109534,ortholog_one2one
Tfcp2l1,ENSMUSG00000026380,ENSG00000115112,ortholog_one2one
Efcab11,ENSMUSG00000021176,ENSG00000140025,ortholog_one2one
Slitrk2,ENSMUSG00000036790,ENSG00000185985,ortholog_one2one
Clps,ENSMUSG00000024225,ENSG00000137392,ortholog_one2one
Alg13,ENSMUSG00000041718,ENSG00000101901,ortholog_one2one
Eif2ak2,ENSMUSG00000024079,ENSG00000055332,ortholog_one2one
Foxp1,ENSMUSG00000030067,ENSG00000114861,ortholog_one2one
Siva1,ENSMUSG00000064326,ENSG00000184990,ortholog_one2one
B3galnt1,ENSMUSG00000043300,ENSG00000169255,ortholog_one2one
Ap1g1,ENSMUSG00000031731,ENSG00000166747,ortholog_one2one
Tmem204,ENSMUSG00000024168,ENSG00000131634,ortholog_one2one
Anxa5,ENSMUSG00000027712,ENSG00000164111,ortholog_one2one
Uggt1,ENSMUSG00000037470,ENSG00000136731,ortholog_one2one
Pfdn6,ENSMUSG00000024309,ENSG00000204220,ortholog_one2one
Hykk,ENSMUSG00000035878,ENSG00000188266,ortholog_one2one
Scin,ENSMUSG00000002565,ENSG00000006747,ortholog_one2one
Dgat1,ENSMUSG00000022555,ENSG00000185000,ortholog_one2one
Ddx4,ENSMUSG00000021758,ENSG00000152670,ortholog_one2one
Tti1,ENSMUSG00000027650,ENSG00000101407,ortholog_one2one
Qki,ENSMUSG00000062078,ENSG00000112531,ortholog_one2one
Sstr1,ENSMUSG00000035431,ENSG00000139874,ortholog_one2one
Fcf1,ENSMUSG00000021243,ENSG00000119616,ortholog_one2one
Sidt2,ENSMUSG00000034908,ENSG00000149577,ortholog_one2one
Dlg3,ENSMUSG00000000881,ENSG00000082458,ortholog_one2one
Inf2,ENSMUSG00000037679,ENSG00000203485,ortholog_one2one
Snx25,ENSMUSG00000038291,ENSG00000109762,ortholog_one2one
Brd9,ENSMUSG00000057649,ENSG00000028310,ortholog_one2one
Baiap2l1,ENSMUSG00000038859,ENSG00000006453,ortholog_one2one
Itgb1bp1,ENSMUSG00000062352,ENSG00000119185,ortholog_one2one
Tmem129,ENSMUSG00000019295,ENSG00000168936,ortholog_one2one
Frmd4a,ENSMUSG00000026657,ENSG00000151474,ortholog_one2one
Nvl,ENSMUSG00000026516,ENSG00000143748,ortholog_one2one
Pcdh10,ENSMUSG00000049100,ENSG00000138650,ortholog_one2one
Slbp,ENSMUSG00000004642,ENSG00000163950,ortholog_one2one
Il13ra1,ENSMUSG00000017057,ENSG00000131724,ortholog_one2one
Pnldc1,ENSMUSG00000073460,ENSG00000146453,ortholog_one2one
Gbe1,ENSMUSG00000022707,ENSG00000114480,ortholog_one2one
Tacr3,ENSMUSG00000028172,ENSG00000169836,ortholog_one2one
Scrt1,ENSMUSG00000048385,ENSG00000261678,ortholog_one2one
Atxn10,ENSMUSG00000016541,ENSG00000130638,ortholog_one2one
S100a10,ENSMUSG00000041959,ENSG00000197747,ortholog_one2one
Nin,ENSMUSG00000021068,ENSG00000100503,ortholog_one2one
Thbs3,ENSMUSG00000028047,ENSG00000169231,ortholog_one2one
Ccdc14,ENSMUSG00000022833,ENSG00000175455,ortholog_one2one
Clcn5,ENSMUSG00000004317,ENSG00000171365,ortholog_one2one
Klf3,ENSMUSG00000029178,ENSG00000109787,ortholog_one2one
Slc38a2,ENSMUSG00000022462,ENSG00000134294,ortholog_one2one
Ptcd2,ENSMUSG00000021650,ENSG00000049883,ortholog_one2one
Foxn2,ENSMUSG00000034998,ENSG00000170802,ortholog_one2one
Upf3b,ENSMUSG00000036572,ENSG00000125351,ortholog_one2one
Adprh,ENSMUSG00000002844,ENSG00000144843,ortholog_one2one
Hdac4,ENSMUSG00000026313,ENSG00000068024,ortholog_one2one
Mtss2,ENSMUSG00000033763,ENSG00000132613,ortholog_one2one
Zfp202,ENSMUSG00000025602,ENSG00000166261,ortholog_one2one
6430550D23Rik,ENSMUSG00000074646,ENSG00000125975,ortholog_one2one
Anxa9,ENSMUSG00000015702,ENSG00000143412,ortholog_one2one
Tra2b,ENSMUSG00000022858,ENSG00000136527,ortholog_one2one
Fbxo43,ENSMUSG00000048230,ENSG00000156509,ortholog_one2one
